Year,Month,Day,Movement,UOM,Family,Material,Business_Unit,Client,Region,Representative,Item,Sales_Quantity,Gross_Revenue,Net_Revenue,COGS,EBIT,Inventory,Price
2010,12,20,Sales,kg,Family 14,Material 44,BU Charlie,Client 1274,MG,Representative 29,Item 0026,220,1235.85,926.89,614.39,312.50,1228.78,5.62
2010,12,20,Sales,kg,Family 14,Material 44,BU Charlie,Client 0258,MG,Representative 29,Item 0026,1540,8650.95,6488.22,4300.76,2187.46,8601.52,5.62
2010,12,20,Sales,kg,Family 14,Material 44,BU Charlie,Client 0072,SP,Representative 10,Item 0026,6600,38461.50,26648.32,18431.82,8216.50,36863.64,5.83
2010,12,20,Sales,kg,Family 14,Material 44,BU Charlie,Client 0457,SP,Representative 43,Item 0026,26180,162185.10,112371.10,73112.89,39258.21,146225.78,6.20
2010,12,27,Sales,kg,Family 14,Material 44,BU Charlie,Client 0456,SP,Representative 43,Item 0026,220,1778.70,1232.39,614.39,618.00,1228.78,8.09
2010,12,27,Sales,kg,Family 14,Material 44,BU Charlie,Client 1100,SP,Representative 12,Item 0026,2200,13328.70,9234.90,6143.94,3090.96,12287.88,6.06
2010,12,27,Sales,kg,Family 14,Material 44,BU Charlie,Client 0712,SP,Representative 46,Item 0026,1100,6435.00,4681.46,3071.97,1609.49,6143.94,5.85
2010,12,27,Sales,kg,Family 14,Material 44,BU Charlie,Client 1274,MG,Representative 29,Item 0026,220,1235.85,926.89,614.39,312.50,1228.78,5.62
2010,12,27,Sales,kg,Family 14,Material 44,BU Charlie,Client 0258,MG,Representative 29,Item 0026,1540,8650.95,6488.22,4300.76,2187.46,8601.52,5.62
2010,12,27,Sales,kg,Family 14,Material 44,BU Charlie,Client 0623,SP,Representative 43,Item 0026,880,5280.00,3841.21,2457.58,1383.63,4915.16,6.00
2010,12,27,Sales,kg,Family 14,Material 44,BU Charlie,Client 0457,SP,Representative 43,Item 0026,22880,141741.60,98206.68,63896.98,34309.70,127793.96,6.20
2011,1,10,Sales,kg,Family 14,Material 44,BU Bravo,Client 0054,PR,Representative 49,Item 0026,2200,14391.30,10793.50,6932.20,3861.30,13864.40,6.54
2011,1,10,Sales,kg,Family 14,Material 44,BU Bravo,Client 0728,SC,Representative 07,Item 0026,1100,7045.50,4948.62,3466.10,1482.52,6932.20,6.41
2011,1,10,Sales,kg,Family 14,Material 44,BU Charlie,Client 1326,ES,Representative 37,Item 0026,220,1328.25,1059.44,671.44,388.00,1342.88,6.04
2011,1,10,Sales,kg,Family 14,Material 44,BU Charlie,Client 0472,RJ,Representative 35,Item 0026,1100,7796.25,5847.19,3357.20,2489.99,6714.40,7.09
2011,1,10,Sales,kg,Family 14,Material 44,BU Charlie,Client 1100,SP,Representative 12,Item 0026,11000,66643.50,46174.42,33572.00,12602.42,67144.00,6.06
2011,1,10,Sales,kg,Family 14,Material 44,BU Charlie,Client 0793,CE,Representative 11,Item 0026,220,1339.80,1068.65,671.44,397.21,1342.88,6.09
2011,1,10,Sales,kg,Family 14,Material 44,BU Charlie,Client 0712,SP,Representative 46,Item 0026,1760,10296.00,7490.34,5371.52,2118.82,10743.04,5.85
2011,1,10,Sales,kg,Family 14,Material 44,BU Charlie,Client 0045,MG,Representative 12,Item 0026,1100,6052.20,4539.15,3357.20,1181.95,6714.40,5.50
