Year,Month,Day,Movement,UOM,Family,Material,Client,Region,Representative,Item,Sales_Quantity,Gross_Revenue,Net_Revenue,COGS,EBIT,Inventory,Price,Business_Unit
2010.0,2.0,8.0,0,0,0,0,22,15,3,0,1980.0,11081.07,8310.8,5555.88,2754.92,11111.76,5.6,2
2010.0,2.0,8.0,0,0,0,0,106,20,2,0,440.0,2772.0,1920.6,1234.64,685.96,2469.28,6.3,2
2010.0,2.0,15.0,0,0,0,0,5,14,21,0,880.0,5008.08,3756.08,2507.2,1248.88,5014.4,5.69,1
2010.0,2.0,15.0,0,0,0,0,69,19,1,0,2200.0,13582.8,9540.3,6268.02,3272.28,12536.04,6.17,1
2010.0,2.0,15.0,0,0,0,0,113,19,23,2,20.0,123.9,87.02,69.76,17.26,139.52,6.2,1
2010.0,2.0,15.0,0,0,0,0,11,19,23,2,60.0,453.6,318.6,209.27,109.33,418.54,7.56,1
2010.0,2.0,15.0,0,0,0,0,167,0,6,0,2200.0,13421.1,10704.92,6173.2,4531.72,12346.4,6.1,2
2010.0,2.0,15.0,0,0,0,0,3,20,3,0,5060.0,28105.77,19473.29,14198.36,5274.93,28396.72,5.55,2
2010.0,2.0,15.0,0,0,0,0,152,16,6,0,220.0,1480.71,1181.04,617.32,563.72,1234.64,6.73,2
2010.0,2.0,15.0,0,0,0,0,34,2,17,0,1320.0,6306.3,5030.01,3703.92,1326.09,7407.84,4.78,2
2010.0,2.0,15.0,0,0,0,0,89,9,8,0,1100.0,5428.5,4329.86,3086.6,1243.26,6173.2,4.94,2
2010.0,2.0,15.0,0,0,0,0,144,15,14,0,220.0,1600.38,1030.83,617.32,413.51,1234.64,7.27,2
2010.0,2.0,22.0,0,0,0,0,69,19,1,0,1760.0,10866.24,7632.22,5014.42,2617.8,10028.84,6.17,1
2010.0,2.0,22.0,0,0,0,0,34,2,17,0,220.0,1051.05,838.34,617.32,221.02,1234.64,4.78,2
2010.0,3.0,1.0,0,0,0,0,5,14,21,0,660.0,4306.32,2817.05,1880.41,936.64,3760.82,6.52,1
2010.0,3.0,1.0,0,0,0,0,120,19,23,0,880.0,6431.04,4517.04,2507.21,2009.83,5014.42,7.31,1
2010.0,3.0,1.0,0,0,0,0,69,19,1,0,5060.0,31240.44,21942.71,14416.46,7526.25,28832.92,6.17,1
2010.0,3.0,1.0,0,0,0,0,79,19,1,0,2200.0,13398.0,9410.5,6268.02,3142.48,12536.04,6.09,1
2010.0,3.0,1.0,0,0,0,0,10,19,23,2,41.0,250.1,226.96,143.0,83.96,286.0,6.1,1
2010.0,3.0,1.0,0,0,0,0,85,19,23,2,40.0,247.8,174.05,139.51,34.54,279.02,6.2,1
2010.0,3.0,1.0,0,0,0,0,11,19,23,2,80.0,604.8,424.8,279.02,145.78,558.04,7.56,1
2010.0,3.0,1.0,0,0,0,0,127,20,3,0,1100.0,6497.74,4201.31,3086.6,1114.71,6173.2,5.91,2
2010.0,3.0,1.0,0,0,0,0,167,0,6,0,1980.0,12078.99,9634.43,5555.88,4078.55,11111.76,6.1,2
2010.0,3.0,1.0,0,0,0,0,48,15,14,0,220.0,1339.8,1004.85,617.32,387.53,1234.64,6.09,2
2010.0,3.0,1.0,0,0,0,0,13,11,6,0,16500.0,96938.79,64948.11,46299.0,18649.11,92598.0,5.88,2
2010.0,3.0,1.0,0,0,0,0,166,15,3,0,2200.0,13717.64,8835.74,6173.2,2662.54,12346.4,6.24,2
2010.0,3.0,1.0,0,0,0,0,90,2,3,0,440.0,2517.9,2008.32,1234.64,773.68,2469.28,5.72,2
2010.0,3.0,1.0,0,0,0,0,136,12,6,0,660.0,3465.0,2763.76,1851.96,911.8,3703.92,5.25,2
2010.0,3.0,1.0,0,0,0,0,34,2,17,0,4840.0,23123.1,18443.37,13581.04,4862.33,27162.08,4.78,2
2010.0,3.0,1.0,0,0,0,0,96,9,3,0,220.0,1515.27,1015.22,617.32,397.9,1234.64,6.89,2
2010.0,3.0,1.0,0,0,0,0,89,9,8,0,1320.0,6860.7,5472.23,3703.92,1768.31,7407.84,5.2,2
2010.0,3.0,1.0,0,0,0,0,144,15,14,0,220.0,1600.39,1030.84,617.32,413.52,1234.64,7.27,2
2010.0,3.0,1.0,0,0,0,0,2,2,17,0,6600.0,34996.5,27913.87,18519.6,9394.27,37039.2,5.3,2
2010.0,3.0,1.0,0,0,0,0,106,20,2,0,440.0,2818.2,1952.61,1234.64,717.97,2469.28,6.41,2
